date,extent_pct,invalid_pct
2013-05-01,46.06,4.91
2013-06-01,28.48,0.17
2013-07-01,16.15,3.1
2013-08-01,9.78,0.36
2013-09-01,13.76,9.08
2013-10-01,27.32,1.16
2013-11-01,41.29,2.35
2013-12-01,59.32,1.96
2014-01-01,72.4,1.34
2014-02-01,77.81,2.88
2014-03-01,76.19,1.48
2014-04-01,60.51,5.48
2014-05-01,44.17,0.12
2014-06-01,30.36,10.72
2014-07-01,13.91,1.66
2014-08-01,11.62,0.59
2014-09-01,12.64,1.17
2014-10-01,27.05,2.49
2014-11-01,42.91,1.99
2014-12-01,61.75,4.18
2015-01-01,65.16,4.55
2015-02-01,64.2,1.89
2015-03-01,64.27,3.15
2015-04-01,51.02,1.34
2015-05-01,31.69,0.23
2015-06-01,12.32,1.09
2015-07-01,2.85,0.59
2015-08-01,0.0,3.94
2015-09-01,3.2,0.46
2015-10-01,15.55,16.0
2015-11-01,36.52,4.55
2015-12-01,49.97,0.27
2016-01-01,64.06,1.9
2016-02-01,71.39,5.22
2016-03-01,66.79,1.03
2016-04-01,56.49,0.98
2016-05-01,37.84,1.33
2016-06-01,19.29,0.41
2016-07-01,8.91,0.36
2016-08-01,0.0,6.21
2016-09-01,4.28,4.8
2016-10-01,16.46,1.18
2016-11-01,35.14,0.65
2016-12-01,50.47,2.69
2017-01-01,76.71,8.7
2017-02-01,79.51,4.33
2017-03-01,72.08,0.97
2017-04-01,60.27,1.32
2017-05-01,45.69,2.19
2017-06-01,29.34,1.5
2017-07-01,19.08,0.65
2017-08-01,16.41,0.64
2017-09-01,15.6,2.17
2017-10-01,25.32,6.99
2017-11-01,40.31,0.38
2017-12-01,63.09,2.38
2018-01-01,73.52,5.25
2018-02-01,79.09,0.03
2018-03-01,73.96,1.1
2018-04-01,62.19,2.7
2018-05-01,47.35,4.55
2018-06-01,27.85,5.63
2018-07-01,14.34,0.67
2018-08-01,7.72,0.14
2018-09-01,11.0,0.68
2018-10-01,26.43,1.62
2018-11-01,44.88,0.53
2018-12-01,66.39,0.86
2019-01-01,61.6,2.84
2019-02-01,68.16,0.04
2019-03-01,60.21,3.55
2019-04-01,45.89,0.04
2019-05-01,28.88,1.92
2019-06-01,11.9,0.12
2019-07-01,5.37,0.64
2019-08-01,0.0,1.17
2019-09-01,2.53,4.35
2019-10-01,11.51,0.43
2019-11-01,33.05,7.77
2019-12-01,49.35,4.36
2020-01-01,74.97,0.16
2020-02-01,79.91,0.02
2020-03-01,73.87,0.34
2020-04-01,63.48,1.95
2020-05-01,44.0,12.34
2020-06-01,24.8,0.71
2020-07-01,11.88,2.8
2020-08-01,10.38,0.17
2020-09-01,18.16,3.12
2020-10-01,27.85,3.98
2020-11-01,44.74,4.43
2020-12-01,63.13,4.5
2021-01-01,78.18,3.29
2021-02-01,80.48,0.17
2021-03-01,74.41,1.65
2021-04-01,64.93,0.87
2021-05-01,45.94,0.94
2021-06-01,30.88,4.47
2021-07-01,15.09,4.31
2021-08-01,7.31,2.34
2021-09-01,11.68,0.5
2021-10-01,31.13,2.2
2021-11-01,48.79,0.57
2021-12-01,62.11,2.97
2022-01-01,85.47,0.39
2022-02-01,94.22,2.37
2022-03-01,83.88,0.95
2022-04-01,71.53,0.19
2022-05-01,57.42,2.76
2022-06-01,37.63,0.25
2022-07-01,25.68,8.55
2022-08-01,20.64,1.32
2022-09-01,26.43,0.71
2022-10-01,41.6,0.4
2022-11-01,56.2,1.46
2022-12-01,74.92,2.78
2023-01-01,77.8,3.55
2023-02-01,86.89,1.76
2023-03-01,80.46,6.78
2023-04-01,66.82,3.1
2023-05-01,50.07,0.36
2023-06-01,33.76,6.47
2023-07-01,23.7,0.81
2023-08-01,14.08,6.8
2023-09-01,21.76,0.62
2023-10-01,33.43,1.05
2023-11-01,51.28,2.29
2023-12-01,71.71,0.15
2024-01-01,76.49,5.27
2024-02-01,82.94,0.9
2024-03-01,74.97,0.52
2024-04-01,60.97,0.12
2024-05-01,44.51,0.05
2024-06-01,28.03,0.06
2024-07-01,15.08,0.76
2024-08-01,7.61,0.73
2024-09-01,14.89,2.04
2024-10-01,28.0,4.58
2024-11-01,50.54,2.35
2024-12-01,66.63,2.18
2025-01-01,73.43,1.11
2025-02-01,79.37,1.94
2025-03-01,72.09,1.6
2025-04-01,61.2,0.11
2025-05-01,45.69,0.54
2025-06-01,30.15,0.52
2025-07-01,13.09,0.15
2025-08-01,8.56,0.91
2025-09-01,9.97,0.12
2025-10-01,27.14,3.01
2025-11-01,42.66,3.08
2025-12-01,61.34,0.22
