family,truth_seasonal,variant,n_years,seasonal,n,rate,wilson_upper,insufficient
annual_plus_trend,True,missing_10,7,105,200,0.525,0.582359990740118,20
annual_plus_trend,True,missing_10,15,199,200,0.995,0.9988837473954739,0
annual_plus_trend,True,missing_10,30,200,200,1.0,1.0,0
annual_plus_trend,True,missing_25,7,5,200,0.025,0.05045877652881325,174
annual_plus_trend,True,missing_25,15,153,200,0.765,0.8105750799486923,1
annual_plus_trend,True,missing_25,30,198,200,0.99,0.9966852424110841,0
annual_plus_trend,True,pixel_rounded,7,17,200,0.085,0.12323091675440895,0
annual_plus_trend,True,pixel_rounded,15,49,200,0.245,0.2982078935578222,0
annual_plus_trend,True,pixel_rounded,30,177,200,0.885,0.91707441974584,0
ar1_0_5,False,base,7,5,200,0.025,0.05045877652881325,0
ar1_0_5,False,base,15,3,200,0.015,0.03693651799236222,0
ar1_0_5,False,base,30,6,200,0.03,0.056955403794291926,0
ar1_0_5,False,low_state_gap,7,5,200,0.025,0.05045877652881325,0
ar1_0_5,False,low_state_gap,15,3,200,0.015,0.03693651799236222,0
ar1_0_5,False,low_state_gap,30,6,200,0.03,0.056955403794291926,0
ar1_0_5,False,missing_10,7,1,200,0.005,0.022097436443701837,25
ar1_0_5,False,missing_10,15,6,200,0.03,0.056955403794291926,0
ar1_0_5,False,missing_10,30,5,200,0.025,0.05045877652881325,0
ar1_0_5,False,missing_25,7,0,200,0.0,0.013347160654775625,176
ar1_0_5,False,missing_25,15,2,200,0.01,0.029765459852764183,5
ar1_0_5,False,missing_25,30,5,200,0.025,0.05045877652881325,0
ar1_0_5,False,pixel_rounded,7,0,200,0.0,0.013347160654775625,0
ar1_0_5,False,pixel_rounded,15,0,200,0.0,0.013347160654775625,0
ar1_0_5,False,pixel_rounded,30,0,200,0.0,0.013347160654775625,0
ar1_0_8,False,base,7,1,200,0.005,0.022097436443701837,0
ar1_0_8,False,base,15,9,200,0.045,0.07578075138664275,0
ar1_0_8,False,base,30,4,200,0.02,0.043803457167044174,0
ar1_0_8,False,low_state_gap,7,1,200,0.005,0.022097436443701837,0
ar1_0_8,False,low_state_gap,15,9,200,0.045,0.07578075138664275,0
ar1_0_8,False,low_state_gap,30,4,200,0.02,0.043803457167044174,0
ar1_0_8,False,missing_10,7,2,200,0.01,0.029765459852764183,26
ar1_0_8,False,missing_10,15,3,200,0.015,0.03693651799236222,0
ar1_0_8,False,missing_10,30,3,200,0.015,0.03693651799236222,0
ar1_0_8,False,missing_25,7,0,200,0.0,0.013347160654775625,178
ar1_0_8,False,missing_25,15,3,200,0.015,0.03693651799236222,1
ar1_0_8,False,missing_25,30,5,200,0.025,0.05045877652881325,0
ar1_0_8,False,pixel_rounded,7,0,200,0.0,0.013347160654775625,0
ar1_0_8,False,pixel_rounded,15,0,200,0.0,0.013347160654775625,0
ar1_0_8,False,pixel_rounded,30,0,200,0.0,0.013347160654775625,0
asymmetric,True,base,7,189,200,0.945,0.9660604426717392,0
asymmetric,True,base,15,200,200,1.0,1.0,0
asymmetric,True,base,30,200,200,1.0,1.0,0
asymmetric,True,low_state_gap,7,187,200,0.935,0.9582608648520282,0
asymmetric,True,low_state_gap,15,200,200,1.0,1.0,0
asymmetric,True,low_state_gap,30,200,200,1.0,1.0,0
asymmetric,True,missing_10,7,162,200,0.81,0.8513733450560949,24
asymmetric,True,missing_10,15,200,200,1.0,1.0,0
asymmetric,True,missing_10,30,200,200,1.0,1.0,0
asymmetric,True,missing_25,7,15,200,0.075,0.11162633170020006,179
asymmetric,True,missing_25,15,191,200,0.955,0.973634835190797,2
asymmetric,True,missing_25,30,200,200,1.0,1.0,0
asymmetric,True,pixel_rounded,7,0,200,0.0,0.013347160654775625,0
asymmetric,True,pixel_rounded,15,18,200,0.09,0.1289847054875007,0
asymmetric,True,pixel_rounded,30,86,200,0.43,0.4881379898970347,0
events,False,base,7,1,200,0.005,0.022097436443701837,0
events,False,base,15,1,200,0.005,0.022097436443701837,0
events,False,base,30,0,200,0.0,0.013347160654775625,0
events,False,low_state_gap,7,1,200,0.005,0.022097436443701837,0
events,False,low_state_gap,15,1,200,0.005,0.022097436443701837,0
events,False,low_state_gap,30,0,200,0.0,0.013347160654775625,0
events,False,missing_10,7,0,200,0.0,0.013347160654775625,19
events,False,missing_10,15,1,200,0.005,0.022097436443701837,0
events,False,missing_10,30,2,200,0.01,0.029765459852764183,0
events,False,missing_25,7,0,200,0.0,0.013347160654775625,166
events,False,missing_25,15,2,200,0.01,0.029765459852764183,0
events,False,missing_25,30,3,200,0.015,0.03693651799236222,0
events,False,pixel_rounded,7,0,200,0.0,0.013347160654775625,0
events,False,pixel_rounded,15,0,200,0.0,0.013347160654775625,0
events,False,pixel_rounded,30,1,200,0.005,0.022097436443701837,0
narrow_pulse,True,base,7,96,200,0.48,0.5379862862283362,0
narrow_pulse,True,base,15,194,200,0.97,0.9844090727788027,0
narrow_pulse,True,base,30,200,200,1.0,1.0,0
narrow_pulse,True,low_state_gap,7,65,200,0.325,0.38149744724663537,0
narrow_pulse,True,low_state_gap,15,191,200,0.955,0.973634835190797,0
narrow_pulse,True,low_state_gap,30,200,200,1.0,1.0,0
narrow_pulse,True,missing_10,7,75,200,0.375,0.4326239517372156,23
narrow_pulse,True,missing_10,15,196,200,0.98,0.9909901829384595,0
narrow_pulse,True,missing_10,30,200,200,1.0,1.0,0
narrow_pulse,True,missing_25,7,6,200,0.03,0.056955403794291926,180
narrow_pulse,True,missing_25,15,126,200,0.63,0.6840701898989827,4
narrow_pulse,True,missing_25,30,200,200,1.0,1.0,0
narrow_pulse,True,pixel_rounded,7,1,200,0.005,0.022097436443701837,0
narrow_pulse,True,pixel_rounded,15,8,200,0.04,0.06959660781466326,0
narrow_pulse,True,pixel_rounded,30,49,200,0.245,0.2982078935578222,0
phase_drift,,base,7,54,200,0.27,0.32445223036511484,0
phase_drift,,base,15,192,200,0.96,0.9773172200122696,0
phase_drift,,base,30,200,200,1.0,1.0,0
phase_drift,,low_state_gap,7,54,200,0.27,0.32445223036511484,0
phase_drift,,low_state_gap,15,192,200,0.96,0.9773172200122696,0
phase_drift,,low_state_gap,30,200,200,1.0,1.0,0
phase_drift,,missing_10,7,48,200,0.24,0.292933023724919,25
phase_drift,,missing_10,15,185,200,0.925,0.9502812451436409,0
phase_drift,,missing_10,30,200,200,1.0,1.0,0
phase_drift,,missing_25,7,6,200,0.03,0.056955403794291926,179
phase_drift,,missing_25,15,103,200,0.515,0.5725390958034449,4
phase_drift,,missing_25,30,193,200,0.965,0.9809141516801039,0
phase_drift,,pixel_rounded,7,0,200,0.0,0.013347160654775625,0
phase_drift,,pixel_rounded,15,4,200,0.02,0.043803457167044174,0
phase_drift,,pixel_rounded,30,63,200,0.315,0.37119147952310233,0
sinusoid,True,base,7,196,200,0.98,0.9909901829384595,0
sinusoid,True,base,15,200,200,1.0,1.0,0
sinusoid,True,base,30,200,200,1.0,1.0,0
sinusoid,True,low_state_gap,7,176,200,0.88,0.9128119085922038,0
sinusoid,True,low_state_gap,15,200,200,1.0,1.0,0
sinusoid,True,low_state_gap,30,200,200,1.0,1.0,0
sinusoid,True,missing_10,7,179,200,0.895,0.9255342223889006,18
sinusoid,True,missing_10,15,200,200,1.0,1.0,0
sinusoid,True,missing_10,30,200,200,1.0,1.0,0
sinusoid,True,missing_25,7,19,200,0.095,0.13470928280274239,179
sinusoid,True,missing_25,15,196,200,0.98,0.9909901829384595,3
sinusoid,True,missing_25,30,200,200,1.0,1.0,0
sinusoid,True,pixel_rounded,7,9,200,0.045,0.07578075138664275,0
sinusoid,True,pixel_rounded,15,45,200,0.225,0.277053146691527,0
sinusoid,True,pixel_rounded,30,156,200,0.78,0.824266331026492,0
step,False,base,7,0,200,0.0,0.013347160654775625,0
step,False,base,15,0,200,0.0,0.013347160654775625,0
step,False,base,30,1,200,0.005,0.022097436443701837,0
step,False,low_state_gap,7,0,200,0.0,0.013347160654775625,0
step,False,low_state_gap,15,0,200,0.0,0.013347160654775625,0
step,False,low_state_gap,30,1,200,0.005,0.022097436443701837,0
step,False,missing_10,7,0,200,0.0,0.013347160654775625,28
step,False,missing_10,15,0,200,0.0,0.013347160654775625,0
step,False,missing_10,30,0,200,0.0,0.013347160654775625,0
step,False,missing_25,7,0,200,0.0,0.013347160654775625,175
step,False,missing_25,15,0,200,0.0,0.013347160654775625,3
step,False,missing_25,30,0,200,0.0,0.013347160654775625,0
step,False,pixel_rounded,7,0,200,0.0,0.013347160654775625,0
step,False,pixel_rounded,15,0,200,0.0,0.013347160654775625,0
step,False,pixel_rounded,30,0,200,0.0,0.013347160654775625,0
strong_trend,False,base,7,0,200,0.0,0.013347160654775625,0
strong_trend,False,base,15,0,200,0.0,0.013347160654775625,0
strong_trend,False,base,30,0,200,0.0,0.013347160654775625,0
strong_trend,False,low_state_gap,7,0,200,0.0,0.013347160654775625,0
strong_trend,False,low_state_gap,15,0,200,0.0,0.013347160654775625,0
strong_trend,False,low_state_gap,30,0,200,0.0,0.013347160654775625,0
strong_trend,False,missing_10,7,3,200,0.015,0.03693651799236222,26
strong_trend,False,missing_10,15,0,200,0.0,0.013347160654775625,0
strong_trend,False,missing_10,30,0,200,0.0,0.013347160654775625,0
strong_trend,False,missing_25,7,0,200,0.0,0.013347160654775625,176
strong_trend,False,missing_25,15,0,200,0.0,0.013347160654775625,1
strong_trend,False,missing_25,30,0,200,0.0,0.013347160654775625,0
strong_trend,False,pixel_rounded,7,0,200,0.0,0.013347160654775625,0
strong_trend,False,pixel_rounded,15,0,200,0.0,0.013347160654775625,0
strong_trend,False,pixel_rounded,30,0,200,0.0,0.013347160654775625,0
timing_jitter,True,base,7,149,200,0.745,0.792191020746152,0
timing_jitter,True,base,15,200,200,1.0,1.0,0
timing_jitter,True,base,30,200,200,1.0,1.0,0
timing_jitter,True,low_state_gap,7,95,200,0.475,0.5330273487728567,0
timing_jitter,True,low_state_gap,15,198,200,0.99,0.9966852424110841,0
timing_jitter,True,low_state_gap,30,200,200,1.0,1.0,0
timing_jitter,True,missing_10,7,128,200,0.64,0.693617228944223,21
timing_jitter,True,missing_10,15,200,200,1.0,1.0,0
timing_jitter,True,missing_10,30,200,200,1.0,1.0,0
timing_jitter,True,missing_25,7,16,200,0.08,0.11744565831696663,176
timing_jitter,True,missing_25,15,180,200,0.9,0.9297288977216682,2
timing_jitter,True,missing_25,30,200,200,1.0,1.0,0
timing_jitter,True,pixel_rounded,7,4,200,0.02,0.043803457167044174,0
timing_jitter,True,pixel_rounded,15,19,200,0.095,0.13470928280274239,0
timing_jitter,True,pixel_rounded,30,105,200,0.525,0.582359990740118,0
trend,False,base,7,0,200,0.0,0.013347160654775625,0
trend,False,base,15,0,200,0.0,0.013347160654775625,0
trend,False,base,30,1,200,0.005,0.022097436443701837,0
trend,False,low_state_gap,7,0,200,0.0,0.013347160654775625,0
trend,False,low_state_gap,15,0,200,0.0,0.013347160654775625,0
trend,False,low_state_gap,30,1,200,0.005,0.022097436443701837,0
trend,False,missing_10,7,1,200,0.005,0.022097436443701837,31
trend,False,missing_10,15,0,200,0.0,0.013347160654775625,0
trend,False,missing_10,30,0,200,0.0,0.013347160654775625,0
trend,False,missing_25,7,0,200,0.0,0.013347160654775625,179
trend,False,missing_25,15,0,200,0.0,0.013347160654775625,1
trend,False,missing_25,30,2,200,0.01,0.029765459852764183,0
trend,False,pixel_rounded,7,0,200,0.0,0.013347160654775625,0
trend,False,pixel_rounded,15,0,200,0.0,0.013347160654775625,0
trend,False,pixel_rounded,30,1,200,0.005,0.022097436443701837,0
two_cycles,,base,7,84,200,0.42,0.47809854063931984,0
two_cycles,,base,15,197,200,0.985,0.99398977215723,0
two_cycles,,base,30,200,200,1.0,1.0,0
two_cycles,,low_state_gap,7,84,200,0.42,0.47809854063931984,0
two_cycles,,low_state_gap,15,197,200,0.985,0.99398977215723,0
two_cycles,,low_state_gap,30,200,200,1.0,1.0,0
two_cycles,,missing_10,7,59,200,0.295,0.35049374892636,22
two_cycles,,missing_10,15,188,200,0.94,0.962185564684956,0
two_cycles,,missing_10,30,200,200,1.0,1.0,0
two_cycles,,missing_25,7,5,200,0.025,0.05045877652881325,178
two_cycles,,missing_25,15,119,200,0.595,0.6504589076546378,5
two_cycles,,missing_25,30,199,200,0.995,0.9988837473954739,0
two_cycles,,pixel_rounded,7,6,200,0.03,0.056955403794291926,0
two_cycles,,pixel_rounded,15,19,200,0.095,0.13470928280274239,0
two_cycles,,pixel_rounded,30,130,200,0.65,0.7031385402405468,0
white_noise,False,base,7,0,200,0.0,0.013347160654775625,0
white_noise,False,base,15,0,200,0.0,0.013347160654775625,0
white_noise,False,base,30,0,200,0.0,0.013347160654775625,0
white_noise,False,low_state_gap,7,0,200,0.0,0.013347160654775625,0
white_noise,False,low_state_gap,15,0,200,0.0,0.013347160654775625,0
white_noise,False,low_state_gap,30,0,200,0.0,0.013347160654775625,0
white_noise,False,missing_10,7,0,200,0.0,0.013347160654775625,37
white_noise,False,missing_10,15,3,200,0.015,0.03693651799236222,0
white_noise,False,missing_10,30,0,200,0.0,0.013347160654775625,0
white_noise,False,missing_25,7,0,200,0.0,0.013347160654775625,176
white_noise,False,missing_25,15,0,200,0.0,0.013347160654775625,4
white_noise,False,missing_25,30,0,200,0.0,0.013347160654775625,0
white_noise,False,pixel_rounded,7,0,200,0.0,0.013347160654775625,0
white_noise,False,pixel_rounded,15,0,200,0.0,0.013347160654775625,0
white_noise,False,pixel_rounded,30,0,200,0.0,0.013347160654775625,0
zero_dominated_pulse,True,base,7,200,200,1.0,1.0,0
zero_dominated_pulse,True,base,15,200,200,1.0,1.0,0
zero_dominated_pulse,True,base,30,200,200,1.0,1.0,0
zero_dominated_pulse,True,low_state_gap,7,200,200,1.0,1.0,0
zero_dominated_pulse,True,low_state_gap,15,200,200,1.0,1.0,0
zero_dominated_pulse,True,low_state_gap,30,200,200,1.0,1.0,0
zero_dominated_pulse,True,missing_10,7,177,200,0.885,0.91707441974584,23
zero_dominated_pulse,True,missing_10,15,200,200,1.0,1.0,0
zero_dominated_pulse,True,missing_10,30,200,200,1.0,1.0,0
zero_dominated_pulse,True,missing_25,7,20,200,0.1,0.1404066262454887,180
zero_dominated_pulse,True,missing_25,15,197,200,0.985,0.99398977215723,3
zero_dominated_pulse,True,missing_25,30,200,200,1.0,1.0,0
zero_dominated_pulse,True,pixel_rounded,7,200,200,1.0,1.0,0
zero_dominated_pulse,True,pixel_rounded,15,200,200,1.0,1.0,0
zero_dominated_pulse,True,pixel_rounded,30,200,200,1.0,1.0,0
