family,family_id,truth_seasonal,n_years,replicate,variant,n_redraws,established_regime,established_route,established_snr,candidate_class,candidate_status,candidate_reason,candidate_regime,candidate_route,candidate_peak_p,candidate_trough_p,candidate_peak_r,candidate_trough_r,n_detectable_years,n_timing_eligible_years
white_noise,1,False,7,57,base,0,marginal,event_characterisation,1.1798,aseasonal,ok,peak_and_trough_uniformity_not_rejected,aseasonal,event_characterisation,0.411,0.686,0.271346799907695,0.10357138453182399,4,5
white_noise,1,False,7,58,base,0,marginal,event_characterisation,0.9576,aseasonal,ok,peak_and_trough_uniformity_not_rejected,aseasonal,event_characterisation,0.145,0.802,0.24086520114425491,0.14423836594084527,4,5
white_noise,1,False,7,59,base,0,marginal,event_characterisation,1.5885,aseasonal,ok,peak_and_trough_uniformity_not_rejected,aseasonal,event_characterisation,0.083,0.832,0.3333333333333333,0.24148145657226705,1,5
white_noise,1,False,7,60,base,0,marginal,event_characterisation,1.5313,aseasonal,ok,peak_and_trough_uniformity_not_rejected,aseasonal,event_characterisation,0.937,0.112,0.11709671517977975,0.5251746947608024,5,5
white_noise,1,False,7,61,base,0,marginal,event_characterisation,1.1154,aseasonal,ok,peak_and_trough_uniformity_not_rejected,aseasonal,event_characterisation,0.435,0.343,0.34244148291205073,0.08752293595564814,4,5
white_noise,1,False,7,62,base,0,marginal,event_characterisation,1.2047,aseasonal,ok,peak_and_trough_uniformity_not_rejected,aseasonal,event_characterisation,0.527,0.238,0.23210410755926408,0.22814786333681622,4,5
white_noise,1,False,7,63,base,0,marginal,event_characterisation,1.6969,aseasonal,ok,peak_and_trough_uniformity_not_rejected,aseasonal,event_characterisation,0.812,0.204,0.01825286920612609,0.2833639689319885,4,5
white_noise,1,False,7,64,base,0,marginal,event_characterisation,1.4893,aseasonal,ok,peak_and_trough_uniformity_not_rejected,aseasonal,event_characterisation,0.568,0.534,0.14963563568570803,0.5719834611788647,2,5
white_noise,1,False,7,65,base,0,marginal,event_characterisation,1.3129,aseasonal,ok,peak_and_trough_uniformity_not_rejected,aseasonal,event_characterisation,0.094,0.718,0.3783092204663014,0.06445726417983333,3,5
white_noise,1,False,7,66,base,0,marginal,event_characterisation,1.3431,aseasonal,ok,peak_and_trough_uniformity_not_rejected,aseasonal,event_characterisation,0.485,0.921,0.27056081370695845,0.03527388653223155,4,5
white_noise,1,False,7,67,base,0,marginal,event_characterisation,1.2165,aseasonal,ok,peak_and_trough_uniformity_not_rejected,aseasonal,event_characterisation,0.806,0.079,0.06885075971819309,0.20350485743337593,3,5
white_noise,1,False,7,68,base,0,marginal,event_characterisation,1.3337,aseasonal,ok,peak_and_trough_uniformity_not_rejected,aseasonal,event_characterisation,0.837,0.727,0.15370253984398197,0.5183530472610257,2,5
white_noise,1,False,7,69,base,0,marginal,event_characterisation,1.4513,aseasonal,ok,peak_and_trough_uniformity_not_rejected,aseasonal,event_characterisation,0.754,0.548,0.40747118769894675,0.1254251775165194,3,5
white_noise,1,False,7,70,base,0,marginal,event_characterisation,1.2907,aseasonal,ok,peak_and_trough_uniformity_not_rejected,aseasonal,event_characterisation,0.167,0.423,0.32309582429157263,0.3216172977554035,4,5
white_noise,1,False,7,71,base,0,marginal,event_characterisation,1.1722,aseasonal,ok,peak_and_trough_uniformity_not_rejected,aseasonal,event_characterisation,0.809,0.765,0.13223599853963938,0.17891041649468425,4,5
white_noise,1,False,7,72,base,0,marginal,event_characterisation,0.8195,aseasonal,ok,peak_and_trough_uniformity_not_rejected,aseasonal,event_characterisation,0.354,0.389,0.12587199411545702,0.09862486673222312,2,5
white_noise,1,False,7,73,base,0,marginal,event_characterisation,1.1704,aseasonal,ok,peak_and_trough_uniformity_not_rejected,aseasonal,event_characterisation,0.569,0.699,0.10013564164982745,0.23219627424120218,4,5
white_noise,1,False,7,74,base,0,marginal,event_characterisation,1.368,aseasonal,ok,peak_and_trough_uniformity_not_rejected,aseasonal,event_characterisation,0.721,0.567,0.1625953491927179,0.17935908200246278,4,5
white_noise,1,False,7,75,base,0,marginal,event_characterisation,1.0963,aseasonal,ok,peak_and_trough_uniformity_not_rejected,aseasonal,event_characterisation,0.554,0.681,0.16057535226846012,0.20848570769792493,3,5
white_noise,1,False,7,76,base,0,marginal,event_characterisation,1.232,aseasonal,ok,peak_and_trough_uniformity_not_rejected,aseasonal,event_characterisation,0.77,0.303,0.25685058345704065,0.10140178808403696,4,5
white_noise,1,False,7,77,base,0,marginal,event_characterisation,1.4491,aseasonal,ok,peak_and_trough_uniformity_not_rejected,aseasonal,event_characterisation,0.665,0.983,0.2651826074133413,0.06229208605448741,5,5
white_noise,1,False,7,78,base,0,marginal,event_characterisation,1.0999,aseasonal,ok,peak_and_trough_uniformity_not_rejected,aseasonal,event_characterisation,0.346,0.062,0.21363760056633116,0.24927593848942517,5,5
white_noise,1,False,7,79,base,0,marginal,event_characterisation,1.3014,aseasonal,ok,no_detectable_years,aseasonal,event_characterisation,,,,,0,5
white_noise,1,False,7,80,base,0,marginal,event_characterisation,1.5654,aseasonal,ok,peak_and_trough_uniformity_not_rejected,aseasonal,event_characterisation,0.128,0.712,0.11533976045764202,0.21449727135157728,4,5
white_noise,1,False,7,81,base,0,marginal,event_characterisation,1.0164,aseasonal,ok,peak_and_trough_uniformity_not_rejected,aseasonal,event_characterisation,0.48,0.73,0.12549759826251886,0.3474449131837232,2,5
white_noise,1,False,7,82,base,0,marginal,event_characterisation,1.2764,aseasonal,ok,peak_and_trough_uniformity_not_rejected,aseasonal,event_characterisation,0.318,0.511,0.07786719783264691,0.07924682452694515,4,5
white_noise,1,False,7,83,base,0,marginal,event_characterisation,1.3873,aseasonal,ok,peak_and_trough_uniformity_not_rejected,aseasonal,event_characterisation,0.867,0.291,0.19291232624027352,0.25815749308757074,2,5
white_noise,1,False,7,84,base,0,marginal,event_characterisation,1.2518,aseasonal,ok,trough_uniformity_not_rejected,aseasonal,event_characterisation,0.022,0.654,0.2631341820336595,0.09025414827827645,4,5
white_noise,1,False,7,85,base,0,seasonal,event_characterisation,2.0816,aseasonal,ok,peak_and_trough_uniformity_not_rejected,aseasonal,event_characterisation,0.083,0.065,0.24288098881676215,0.2529259911215203,5,5
white_noise,1,False,7,86,base,0,marginal,event_characterisation,0.9684,aseasonal,ok,peak_and_trough_uniformity_not_rejected,aseasonal,event_characterisation,0.685,0.294,0.1385899483518378,0.4966873297245399,3,5
white_noise,1,False,7,87,base,0,marginal,event_characterisation,1.5587,aseasonal,ok,peak_and_trough_uniformity_not_rejected,aseasonal,event_characterisation,0.707,0.419,0.016848021285475214,0.3584049115106864,3,5
white_noise,1,False,7,88,base,0,marginal,event_characterisation,1.2524,aseasonal,ok,peak_and_trough_uniformity_not_rejected,aseasonal,event_characterisation,0.282,0.3,0.24660080677874058,0.2986968655450101,5,5
white_noise,1,False,7,89,base,0,marginal,event_characterisation,1.4657,aseasonal,ok,peak_and_trough_uniformity_not_rejected,aseasonal,event_characterisation,0.186,0.776,0.35640600185810434,0.24124744976854023,4,5
white_noise,1,False,7,90,base,0,marginal,event_characterisation,1.416,aseasonal,ok,peak_and_trough_uniformity_not_rejected,aseasonal,event_characterisation,0.203,0.15,0.49949206643915794,0.42742554937613214,4,5
white_noise,1,False,7,91,base,0,marginal,event_characterisation,1.0777,aseasonal,ok,peak_and_trough_uniformity_not_rejected,aseasonal,event_characterisation,0.262,0.66,0.22522069124563804,0.14978631597251077,5,5
white_noise,1,False,7,92,base,0,marginal,event_characterisation,1.6675,aseasonal,ok,peak_and_trough_uniformity_not_rejected,aseasonal,event_characterisation,0.371,0.137,0.1678725799293886,0.3383939459222773,4,5
white_noise,1,False,7,93,base,0,marginal,event_characterisation,0.9565,aseasonal,ok,peak_and_trough_uniformity_not_rejected,aseasonal,event_characterisation,0.949,0.467,0.08565169636190242,0.22045463141798352,3,5
white_noise,1,False,7,94,base,0,marginal,event_characterisation,1.3931,aseasonal,ok,peak_and_trough_uniformity_not_rejected,aseasonal,event_characterisation,0.768,0.484,0.16710465736048039,0.14957715176552994,4,5
white_noise,1,False,7,95,base,0,marginal,event_characterisation,1.205,aseasonal,ok,peak_and_trough_uniformity_not_rejected,aseasonal,event_characterisation,0.654,0.864,0.11153181774987883,0.04864622255081086,4,5
white_noise,1,False,7,96,base,0,marginal,event_characterisation,1.047,aseasonal,ok,peak_and_trough_uniformity_not_rejected,aseasonal,event_characterisation,0.506,0.75,0.47140452079103184,0.08627301503417362,1,5
white_noise,1,False,7,97,base,0,marginal,event_characterisation,0.9416,aseasonal,ok,peak_and_trough_uniformity_not_rejected,aseasonal,event_characterisation,0.246,0.291,0.39189732041505854,0.1910468215574522,3,5
white_noise,1,False,7,98,base,0,marginal,event_characterisation,1.0721,aseasonal,ok,peak_and_trough_uniformity_not_rejected,aseasonal,event_characterisation,0.863,0.871,0.225692398990475,0.07450579205605366,4,5
white_noise,1,False,7,99,base,0,aseasonal,event_characterisation,0.6906,aseasonal,ok,peak_and_trough_uniformity_not_rejected,aseasonal,event_characterisation,0.793,0.562,0.053236914802891354,0.16850379278334382,4,5
white_noise,1,False,7,100,base,0,aseasonal,event_characterisation,0.657,aseasonal,ok,peak_and_trough_uniformity_not_rejected,aseasonal,event_characterisation,0.429,0.457,0.1681509331336098,0.28568207761575537,2,5
white_noise,1,False,7,101,base,0,marginal,event_characterisation,0.9809,aseasonal,ok,trough_uniformity_not_rejected,aseasonal,event_characterisation,0.036,0.955,0.32488353351086807,0.1317939649767217,4,5
white_noise,1,False,7,102,base,0,marginal,event_characterisation,1.0493,aseasonal,ok,peak_and_trough_uniformity_not_rejected,aseasonal,event_characterisation,0.761,0.992,0.14894507826037937,0.21087594845825597,3,5
white_noise,1,False,7,103,base,0,marginal,event_characterisation,1.3256,aseasonal,ok,peak_and_trough_uniformity_not_rejected,aseasonal,event_characterisation,0.702,0.321,0.15801336845235722,0.19097477182336425,4,5
white_noise,1,False,7,104,base,0,marginal,event_characterisation,1.532,aseasonal,ok,peak_and_trough_uniformity_not_rejected,aseasonal,event_characterisation,0.246,0.825,0.2453864961745528,0.25304203377636636,4,5
white_noise,1,False,7,105,base,0,marginal,event_characterisation,1.2806,aseasonal,ok,peak_and_trough_uniformity_not_rejected,aseasonal,event_characterisation,0.696,0.327,0.17317974640180084,0.17069293492996593,5,5
white_noise,1,False,7,106,base,0,marginal,event_characterisation,1.3363,aseasonal,ok,peak_and_trough_uniformity_not_rejected,aseasonal,event_characterisation,0.764,0.93,0.0915063509461097,0.5736839095644461,2,5
white_noise,1,False,7,107,base,0,marginal,event_characterisation,1.37,aseasonal,ok,trough_uniformity_not_rejected,aseasonal,event_characterisation,0.022,0.214,0.19727577220203957,0.1785242330757862,4,5
white_noise,1,False,7,108,base,0,marginal,event_characterisation,1.3634,aseasonal,ok,peak_and_trough_uniformity_not_rejected,aseasonal,event_characterisation,0.462,0.807,0.18340228601522035,0.301418773271472,3,5
white_noise,1,False,7,109,base,0,marginal,event_characterisation,1.4758,aseasonal,ok,peak_and_trough_uniformity_not_rejected,aseasonal,event_characterisation,0.72,0.808,0.17521186581480352,0.03183672671612127,4,5
white_noise,1,False,7,110,base,0,marginal,event_characterisation,1.1156,aseasonal,ok,peak_and_trough_uniformity_not_rejected,aseasonal,event_characterisation,0.072,0.201,0.2749590400382423,0.32489771369647324,3,5
white_noise,1,False,7,111,base,0,marginal,event_characterisation,0.8068,aseasonal,ok,peak_and_trough_uniformity_not_rejected,aseasonal,event_characterisation,0.912,0.083,0.3535533905932737,0.33333333333333337,1,5
white_noise,1,False,7,112,base,0,marginal,event_characterisation,1.2808,aseasonal,ok,peak_and_trough_uniformity_not_rejected,aseasonal,event_characterisation,0.328,0.102,0.32010421920217114,0.22152997841820715,4,5
white_noise,1,False,7,113,base,0,marginal,event_characterisation,1.4795,aseasonal,ok,peak_and_trough_uniformity_not_rejected,aseasonal,event_characterisation,0.249,0.921,0.27297121928862295,0.1505761613790821,4,5
white_noise,1,False,7,114,base,0,marginal,event_characterisation,0.9594,aseasonal,ok,peak_and_trough_uniformity_not_rejected,aseasonal,event_characterisation,0.961,0.378,0.05227902669855122,0.2771348515221802,3,5
white_noise,1,False,7,115,base,0,marginal,event_characterisation,1.2036,aseasonal,ok,peak_and_trough_uniformity_not_rejected,aseasonal,event_characterisation,0.281,0.799,0.35911675639654206,0.19031024212624273,3,5
white_noise,1,False,7,116,base,0,marginal,event_characterisation,1.265,aseasonal,ok,peak_and_trough_uniformity_not_rejected,aseasonal,event_characterisation,0.327,0.495,0.1575444768918803,0.40574480349378306,3,5
white_noise,1,False,7,117,base,0,marginal,event_characterisation,1.088,aseasonal,ok,peak_uniformity_not_rejected,aseasonal,event_characterisation,0.069,0.002,0.24363301905444773,0.2580181451108827,5,5
white_noise,1,False,7,118,base,0,marginal,event_characterisation,1.5217,aseasonal,ok,peak_and_trough_uniformity_not_rejected,aseasonal,event_characterisation,0.6,0.128,0.048178747546310303,0.42981623427764354,3,5
white_noise,1,False,7,119,base,0,marginal,event_characterisation,0.9038,aseasonal,ok,peak_and_trough_uniformity_not_rejected,aseasonal,event_characterisation,1.0,0.807,0.3505599230189478,0.18810377368982012,3,5
white_noise,1,False,7,120,base,0,marginal,event_characterisation,1.2281,aseasonal,ok,peak_and_trough_uniformity_not_rejected,aseasonal,event_characterisation,0.886,0.356,0.04593530907801581,0.6027743040614186,2,5
white_noise,1,False,7,121,base,0,marginal,event_characterisation,1.8176,aseasonal,ok,peak_and_trough_uniformity_not_rejected,aseasonal,event_characterisation,0.26,0.936,0.3358714793137343,0.07545245076508643,3,5
white_noise,1,False,7,122,base,0,marginal,event_characterisation,1.3255,aseasonal,ok,peak_and_trough_uniformity_not_rejected,aseasonal,event_characterisation,0.172,0.924,0.27186995096563527,0.15931013072280384,4,5
white_noise,1,False,7,123,base,0,marginal,event_characterisation,1.018,aseasonal,ok,peak_and_trough_uniformity_not_rejected,aseasonal,event_characterisation,0.1,0.29,0.372895572063246,0.4402041112252224,3,5
white_noise,1,False,7,124,base,0,marginal,event_characterisation,2.0819,aseasonal,ok,peak_and_trough_uniformity_not_rejected,aseasonal,event_characterisation,0.904,0.545,0.09249703085774144,0.13293210901703817,4,5
white_noise,1,False,7,125,base,0,marginal,event_characterisation,0.819,aseasonal,ok,peak_and_trough_uniformity_not_rejected,aseasonal,event_characterisation,0.889,0.597,0.09999999999999996,0.09815599181566499,2,5
white_noise,1,False,7,126,base,0,marginal,event_characterisation,0.944,aseasonal,ok,peak_and_trough_uniformity_not_rejected,aseasonal,event_characterisation,0.546,0.819,0.22635181825713824,0.04689334857706282,5,5
white_noise,1,False,7,127,base,0,marginal,event_characterisation,1.0725,aseasonal,ok,peak_and_trough_uniformity_not_rejected,aseasonal,event_characterisation,0.416,0.442,0.11913813182594947,0.2331195790392573,3,5
white_noise,1,False,7,128,base,0,marginal,event_characterisation,0.7046,aseasonal,ok,peak_and_trough_uniformity_not_rejected,aseasonal,event_characterisation,0.953,0.212,0.03672649806175232,0.25551644223280706,5,5
white_noise,1,False,7,129,base,0,marginal,event_characterisation,1.0568,aseasonal,ok,peak_and_trough_uniformity_not_rejected,aseasonal,event_characterisation,0.282,0.998,0.33858679264167657,0.0827061016854967,5,5
white_noise,1,False,7,130,base,0,marginal,event_characterisation,1.4485,aseasonal,ok,peak_and_trough_uniformity_not_rejected,aseasonal,event_characterisation,0.174,0.137,0.17130720530957794,0.23556304122860133,3,5
white_noise,1,False,7,131,base,0,marginal,event_characterisation,1.4004,aseasonal,ok,peak_and_trough_uniformity_not_rejected,aseasonal,event_characterisation,0.971,0.886,0.22546248764114468,0.1294095225512604,2,5
